2020-11-10 09:43:02,644, INFO, 19071, benteng_2, weibo, read 1022 fresh data
2020-11-10 19:28:36,891, INFO, 23138, benteng_2, weibo, read 816 fresh data
2020-11-11 09:36:50,830, INFO, 23651, benteng_2, weibo, read 703 fresh data
2020-11-11 09:48:40,927, INFO, 23803, benteng_2, weibo, read 893 fresh data
2020-11-11 17:28:00,894, INFO, 26431, benteng_2, weibo, read 905 fresh data
2020-11-11 20:28:17,297, INFO, 27278, benteng_2, kuaishou, read 126 fresh data
2020-11-11 20:29:37,749, INFO, 27300, benteng_2, kuaishou, read 126 fresh data
2020-11-11 20:41:16,805, INFO, 27394, benteng_2, kuaishou, read 126 fresh data
2020-11-11 20:42:08,439, INFO, 27407, benteng_2, kuaishou, read 126 fresh data
2020-11-11 20:42:56,090, INFO, 27415, benteng_2, kuaishou, read 126 fresh data
2020-11-11 20:43:57,973, INFO, 27432, benteng_2, kuaishou, read 126 fresh data
2020-11-12 09:43:54,869, INFO, 27642, benteng_2, weibo, read 923 fresh data
2020-11-12 10:03:36,365, INFO, 27837, benteng_2, weibo, read 923 fresh data
2020-11-13 09:41:46,754, INFO, 35672, benteng_2, weibo, read 943 fresh data
